StudentID,Věk,Studijní Obor,Ročník,Předmět,Známka
8270,29,Business Management,3,Matematika,5
1860,25,Softwarový vývoj,1,Web Development,4
6390,18,Business Management,2,Obchodní právo,3
6191,19,Softwarový vývoj,3,Programování,4
6734,23,Softwarový vývoj,3,Algoritmy,3
7265,22,Softwarový vývoj,2,Cloud Computing,4
1466,19,Softwarový vývoj,1,Umělá inteligence,2
5426,30,Business Management,2,Obchodní právo,1
6578,23,Business Management,3,Mezinárodní obchod,2
9322,24,Business Management,3,Inovace v podnikání,4
2685,20,Business Management,3,Veřejné finance,3
1769,28,Business Management,3,Veřejné finance,3
7949,25,Business Management,3,Podniková etika,5
3433,21,Softwarový vývoj,3,Software Engineering,2
6311,27,Softwarový vývoj,3,Web Development,5
6051,26,Softwarový vývoj,2,UI/UX Design,3
7420,24,Business Management,1,Matematika,5
2184,30,Softwarový vývoj,1,Programování,3
5555,20,Softwarový vývoj,1,Umělá inteligence,5
4385,22,Business Management,3,Lidské zdroje,3
7396,26,Softwarový vývoj,1,Umělá inteligence,2
9666,30,Softwarový vývoj,3,Software Engineering,5
3558,29,Softwarový vývoj,2,UI/UX Design,3
8849,26,Business Management,2,Strategické řízení,5
3047,25,Softwarový vývoj,3,Matematika,4
3747,25,Softwarový vývoj,1,Umělá inteligence,1
1189,26,Business Management,3,Inovace v podnikání,4
3734,22,Business Management,3,Lidské zdroje,1
4005,30,Business Management,3,Anglický jazyk,4
5658,28,Softwarový vývoj,2,Operační systémy,2
2899,30,Softwarový vývoj,1,Umělá inteligence,3
8734,26,Softwarový vývoj,2,Operační systémy,2
2267,23,Business Management,1,Lidské zdroje,2
2528,30,Business Management,2,Účetnictví,4
4556,23,Softwarový vývoj,3,UI/UX Design,1
4890,28,Business Management,1,Účetnictví,3
9838,27,Business Management,2,Veřejné finance,4
6393,29,Softwarový vývoj,2,Umělá inteligence,3
9792,23,Softwarový vývoj,1,Operační systémy,3
9433,24,Softwarový vývoj,2,Anglický jazyk,5
8513,26,Business Management,3,Matematika,4
3612,20,Softwarový vývoj,2,Programování,4
8041,29,Business Management,3,Marketing,5
7235,30,Softwarový vývoj,1,Systémová architektura,3
6486,23,Softwarový vývoj,1,Databáze,2
8099,30,Business Management,3,Podniková etika,1
1775,27,Business Management,1,Obchodní právo,4
9226,22,Business Management,1,Matematika,2
4152,21,Business Management,2,Obchodní právo,3
2585,25,Business Management,2,Marketing,2
4943,20,Softwarový vývoj,3,UI/UX Design,3
8555,19,Softwarový vývoj,1,Matematika,2
4073,21,Softwarový vývoj,2,Anglický jazyk,4
2021,20,Softwarový vývoj,3,Cloud Computing,4
4843,24,Business Management,1,Anglický jazyk,2
8989,29,Softwarový vývoj,2,Software Engineering,5
7873,30,Softwarový vývoj,3,Web Development,5
6675,21,Business Management,1,Účetnictví,5
1161,27,Softwarový vývoj,3,Cloud Computing,2
5297,29,Business Management,1,Anglický jazyk,5
1995,26,Softwarový vývoj,3,Cloud Computing,5
