StudentID,Věk,Studijní Obor,Ročník,Předmět,Známka
8270,29,Business Management,3,Matematika,2
1860,25,Softwarový vývoj,1,Web Development,4
6390,18,Business Management,2,Obchodní právo,1
6191,19,Softwarový vývoj,3,Programování,5
6734,23,Softwarový vývoj,3,Algoritmy,3
7265,22,Softwarový vývoj,2,Cloud Computing,1
1466,19,Softwarový vývoj,1,Umělá inteligence,3
5426,30,Business Management,2,Obchodní právo,1
6578,23,Business Management,3,Mezinárodní obchod,1
9322,24,Business Management,3,Inovace v podnikání,1
2685,20,Business Management,3,Veřejné finance,4
1769,28,Business Management,3,Veřejné finance,3
7949,25,Business Management,3,Podniková etika,3
3433,21,Softwarový vývoj,3,Software Engineering,2
6311,27,Softwarový vývoj,3,Web Development,3
6051,26,Softwarový vývoj,2,UI/UX Design,3
7420,24,Business Management,1,Matematika,5
2184,30,Softwarový vývoj,1,Programování,4
5555,20,Softwarový vývoj,1,Umělá inteligence,3
4385,22,Business Management,3,Lidské zdroje,1
7396,26,Softwarový vývoj,1,Umělá inteligence,3
9666,30,Softwarový vývoj,3,Software Engineering,4
3558,29,Softwarový vývoj,2,UI/UX Design,3
8849,26,Business Management,2,Strategické řízení,4
3047,25,Softwarový vývoj,3,Matematika,1
3747,25,Softwarový vývoj,1,Umělá inteligence,2
1189,26,Business Management,3,Inovace v podnikání,1
3734,22,Business Management,3,Lidské zdroje,4
4005,30,Business Management,3,Anglický jazyk,3
5658,28,Softwarový vývoj,2,Operační systémy,5
2899,30,Softwarový vývoj,1,Umělá inteligence,2
8734,26,Softwarový vývoj,2,Operační systémy,2
2267,23,Business Management,1,Lidské zdroje,2
2528,30,Business Management,2,Účetnictví,2
4556,23,Softwarový vývoj,3,UI/UX Design,4
4890,28,Business Management,1,Účetnictví,2
9838,27,Business Management,2,Veřejné finance,2
6393,29,Softwarový vývoj,2,Umělá inteligence,1
9792,23,Softwarový vývoj,1,Operační systémy,4
9433,24,Softwarový vývoj,2,Anglický jazyk,1
8513,26,Business Management,3,Matematika,2
3612,20,Softwarový vývoj,2,Programování,5
8041,29,Business Management,3,Marketing,3
7235,30,Softwarový vývoj,1,Systémová architektura,5
6486,23,Softwarový vývoj,1,Databáze,2
8099,30,Business Management,3,Podniková etika,3
1775,27,Business Management,1,Obchodní právo,4
9226,22,Business Management,1,Matematika,5
4152,21,Business Management,2,Obchodní právo,5
2585,25,Business Management,2,Marketing,2
4943,20,Softwarový vývoj,3,UI/UX Design,4
8555,19,Softwarový vývoj,1,Matematika,5
4073,21,Softwarový vývoj,2,Anglický jazyk,4
2021,20,Softwarový vývoj,3,Cloud Computing,5
4843,24,Business Management,1,Anglický jazyk,5
8989,29,Softwarový vývoj,2,Software Engineering,4
7873,30,Softwarový vývoj,3,Web Development,3
6675,21,Business Management,1,Účetnictví,1
1161,27,Softwarový vývoj,3,Cloud Computing,3
5297,29,Business Management,1,Anglický jazyk,2
1995,26,Softwarový vývoj,3,Cloud Computing,5
8629,30,Business Management,2,Finance,5
2016,29,Business Management,3,Finance,4
8869,28,Business Management,1,Projektový management,1
7439,22,Business Management,1,Anglický jazyk,4
8892,20,Softwarový vývoj,3,Operační systémy,3
7863,19,Softwarový vývoj,2,Systémová architektura,3
8916,23,Business Management,1,Matematika,4
9529,23,Business Management,3,Management,3
1878,18,Business Management,3,Obchodní právo,1
5887,24,Business Management,3,Veřejné finance,5
5859,29,Business Management,2,Marketing,4
7331,22,Softwarový vývoj,3,Programování,2
9571,24,Business Management,3,Lidské zdroje,5
9684,29,Business Management,2,Anglický jazyk,2
8208,21,Business Management,3,Matematika,4
6276,22,Business Management,1,Finance,3
3062,24,Business Management,3,Mezinárodní obchod,4
1064,23,Softwarový vývoj,3,Matematika,3
9006,18,Softwarový vývoj,1,Operační systémy,4
3568,18,Softwarový vývoj,3,Web Development,4
6463,19,Business Management,3,Podniková etika,4
3027,30,Softwarový vývoj,1,Systémová architektura,1
3695,30,Business Management,3,Management,1
6258,28,Softwarový vývoj,1,Algoritmy,5
6618,28,Softwarový vývoj,3,Software Engineering,3
7736,20,Business Management,1,Účetnictví,2
1391,18,Softwarový vývoj,1,Programování,3
6892,27,Business Management,3,Marketing,1
4561,19,Business Management,2,Účetnictví,3
7184,29,Softwarový vývoj,1,Web Development,2
4099,19,Business Management,1,Projektový management,3
7278,24,Softwarový vývoj,1,Web Development,5
9392,28,Business Management,3,Inovace v podnikání,1
4104,30,Business Management,3,Inovace v podnikání,1
8215,29,Business Management,3,Účetnictví,2
3454,23,Softwarový vývoj,1,Data Science,4
9996,26,Softwarový vývoj,2,Programování,4
3731,27,Softwarový vývoj,3,Programování,1
9154,22,Softwarový vývoj,2,Systémová architektura,5
6056,20,Business Management,3,Veřejné finance,5
9110,18,Softwarový vývoj,1,Data Science,1
4840,18,Softwarový vývoj,3,Operační systémy,3
2028,19,Business Management,1,Matematika,4
8385,30,Business Management,2,Podniková etika,3
1502,28,Softwarový vývoj,3,UI/UX Design,1
7910,28,Business Management,3,Anglický jazyk,4
7938,20,Softwarový vývoj,3,Operační systémy,5
5488,28,Softwarový vývoj,3,Web Development,4
1206,27,Softwarový vývoj,1,Umělá inteligence,1
6134,27,Softwarový vývoj,2,Anglický jazyk,2
6977,22,Softwarový vývoj,3,Algoritmy,4
8721,24,Softwarový vývoj,2,Matematika,2
8035,21,Softwarový vývoj,2,Algoritmy,3
2484,27,Business Management,2,Projektový management,3
